trade_id,trade_return,pos_type,start_idx,end_idx
2,-2.7650044275982166,-1.0,9,16
3,3.3999286956756136,-2.0,17,17
4,-0.7535490692660463,2.0,19,20
5,-0.3249106274915037,2.0,21,21
7,0.0,-1.0,23,23
8,0.4881117287800718,-2.0,24,24
9,-5.191322532435172,-2.0,27,47
10,0.5997019515250779,-2.0,48,48
11,-0.26787341987234425,-1.0,50,52
12,-0.4182752111903554,-1.0,53,53
13,-3.0706158557788235,2.0,56,71
14,3.5149590564186317,2.0,72,72
15,0.0,-1.0,77,77
16,0.17161321937638752,-1.0,78,78
18,1.0596179674881911,1.0,85,89
19,2.1277955090104106,2.0,90,90
20,0.0,1.0,92,92
21,0.6364872955634926,1.0,93,93
22,-0.2783564161012664,-1.0,95,97
23,1.280620692211254,-1.0,98,98
24,-3.1248474070707632,-2.0,102,120
25,0.637164562305359,-2.0,121,121
26,0.46547352601991054,1.0,123,124
27,-0.9794337813267497,1.0,125,127
28,2.0399832997386236,2.0,128,128
30,0.0,1.0,136,136
31,-0.7026337178199893,-1.0,139,149
32,1.008635044032602,-1.0,150,152
33,0.9621825461411104,-2.0,153,153
35,-0.6903335008862255,1.0,155,156
36,2.332013022257584,2.0,157,157
37,1.6067163936903661,-2.0,159,163
38,0.9908690469698,-2.0,164,164
40,0.0,1.0,167,167
42,0.0,-1.0,171,171
43,-2.4155800619960033,2.0,173,190
44,0.17299878527410328,2.0,191,191
45,-0.2408341321190166,1.0,194,201
46,-0.9804644600912127,1.0,202,203
47,1.2894775076373488,2.0,204,204
48,0.0,-1.0,206,206
49,-3.3863239332396433,-1.0,207,214
50,3.2316431208617824,-2.0,215,215
51,-5.373836344385663,-2.0,221,240
52,1.2704377562630875,-2.0,241,241
53,0.32193811132315564,1.0,243,247
54,0.8697711299140432,1.0,248,248
