Date,Adj Close,Close,High,Low,Open,Volume
2024-12-01,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,104
2024-12-02,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,121
2024-12-03,2.499999936844688e-05,2.499999936844688e-05,2.5999999706982635e-05,2.499999936844688e-05,2.5999999706982635e-05,10
2024-12-04,3.199999991920777e-05,3.199999991920777e-05,3.199999991920777e-05,2.5999999706982635e-05,2.5999999706982635e-05,857
2024-12-05,3.400000059627928e-05,3.400000059627928e-05,3.899999865097925e-05,3.199999991920777e-05,3.199999991920777e-05,4236
2024-12-06,3.400000059627928e-05,3.400000059627928e-05,3.400000059627928e-05,3.199999991920777e-05,3.199999991920777e-05,299
2024-12-07,3.300000025774352e-05,3.300000025774352e-05,4.099999932805076e-05,3.300000025774352e-05,3.400000059627928e-05,2927
2024-12-08,3.199999991920777e-05,3.199999991920777e-05,3.300000025774352e-05,3.199999991920777e-05,3.300000025774352e-05,2
2024-12-09,3.099999958067201e-05,3.099999958067201e-05,3.199999991920777e-05,3.099999958067201e-05,3.199999991920777e-05,24
2024-12-10,2.999999924213625e-05,2.999999924213625e-05,2.999999924213625e-05,2.999999924213625e-05,2.999999924213625e-05,0
2024-12-11,3.199999991920777e-05,3.199999991920777e-05,3.199999991920777e-05,2.9000000722589903e-05,2.999999924213625e-05,589
2024-12-12,3.199999991920777e-05,3.199999991920777e-05,6.500000017695129e-05,3.099999958067201e-05,3.199999991920777e-05,14199
2024-12-13,3.099999958067201e-05,3.099999958067201e-05,3.199999991920777e-05,3.099999958067201e-05,3.199999991920777e-05,35
2024-12-14,2.9000000722589903e-05,2.9000000722589903e-05,3.199999991920777e-05,2.9000000722589903e-05,3.099999958067201e-05,391
2024-12-15,2.9000000722589903e-05,2.9000000722589903e-05,2.9000000722589903e-05,2.9000000722589903e-05,2.9000000722589903e-05,276
2024-12-16,2.9000000722589903e-05,2.9000000722589903e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.9000000722589903e-05,1
2024-12-17,2.8000000384054147e-05,2.8000000384054147e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.9000000722589903e-05,54
2024-12-18,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,19
2024-12-19,2.499999936844688e-05,2.499999936844688e-05,2.8000000384054147e-05,2.499999936844688e-05,2.8000000384054147e-05,352
2024-12-20,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,2.300000051036477e-05,2.499999936844688e-05,41
2024-12-21,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,2.499999936844688e-05,2.499999936844688e-05,512
2024-12-22,2.9000000722589903e-05,2.9000000722589903e-05,3.099999958067201e-05,2.700000004551839e-05,2.8000000384054147e-05,1242
2024-12-23,2.999999924213625e-05,2.999999924213625e-05,2.999999924213625e-05,2.9000000722589903e-05,2.9000000722589903e-05,587
2024-12-24,2.999999924213625e-05,2.999999924213625e-05,2.999999924213625e-05,2.999999924213625e-05,2.999999924213625e-05,0
2024-12-25,2.999999924213625e-05,2.999999924213625e-05,3.099999958067201e-05,2.999999924213625e-05,2.999999924213625e-05,1
2024-12-26,2.9000000722589903e-05,2.9000000722589903e-05,2.999999924213625e-05,2.9000000722589903e-05,2.999999924213625e-05,6
2024-12-27,2.9000000722589903e-05,2.9000000722589903e-05,2.999999924213625e-05,2.700000004551839e-05,2.9000000722589903e-05,989
2024-12-28,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9000000722589903e-05,1183
2024-12-29,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,0
2024-12-30,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,0
2024-12-31,2.999999924213625e-05,2.999999924213625e-05,3.099999958067201e-05,2.9000000722589903e-05,3.099999958067201e-05,0
2025-01-01,2.9000000722589903e-05,2.9000000722589903e-05,2.999999924213625e-05,2.9000000722589903e-05,2.999999924213625e-05,58
2025-01-02,2.999999924213625e-05,2.999999924213625e-05,2.999999924213625e-05,2.9000000722589903e-05,2.9000000722589903e-05,31
2025-01-03,3.199999991920777e-05,3.199999991920777e-05,3.199999991920777e-05,2.999999924213625e-05,2.999999924213625e-05,32
2025-01-04,3.099999958067201e-05,3.099999958067201e-05,3.199999991920777e-05,3.099999958067201e-05,3.199999991920777e-05,1
2025-01-05,3.099999958067201e-05,3.099999958067201e-05,3.199999991920777e-05,3.099999958067201e-05,3.099999958067201e-05,104
2025-01-06,3.199999991920777e-05,3.199999991920777e-05,3.199999991920777e-05,3.099999958067201e-05,3.099999958067201e-05,57
2025-01-07,2.8000000384054147e-05,2.8000000384054147e-05,3.199999991920777e-05,2.8000000384054147e-05,3.199999991920777e-05,741
2025-01-08,2.499999936844688e-05,2.499999936844688e-05,2.8000000384054147e-05,2.499999936844688e-05,2.8000000384054147e-05,25
2025-01-09,2.4000000848900527e-05,2.4000000848900527e-05,2.499999936844688e-05,2.4000000848900527e-05,2.499999936844688e-05,1
2025-01-10,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,0
2025-01-11,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,0
2025-01-12,2.499999936844688e-05,2.499999936844688e-05,2.9000000722589903e-05,2.499999936844688e-05,2.700000004551839e-05,1440
2025-01-13,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,0
2025-01-14,2.4000000848900527e-05,2.4000000848900527e-05,2.499999936844688e-05,2.4000000848900527e-05,2.499999936844688e-05,0
2025-01-15,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,0
2025-01-16,2.499999936844688e-05,2.499999936844688e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.4000000848900527e-05,4
2025-01-17,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.499999936844688e-05,2.499999936844688e-05,3
