Date,Adj Close,Close,High,Low,Open,Volume
2024-12-01,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,39
2024-12-02,2.4000000848900527e-05,2.4000000848900527e-05,2.499999936844688e-05,2.200000017182901e-05,2.200000017182901e-05,2703
2024-12-03,2.499999936844688e-05,2.499999936844688e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.4000000848900527e-05,1882
2024-12-04,2.700000004551839e-05,2.700000004551839e-05,2.700000004551839e-05,2.499999936844688e-05,2.499999936844688e-05,1643
2024-12-05,2.5999999706982635e-05,2.5999999706982635e-05,2.700000004551839e-05,2.499999936844688e-05,2.700000004551839e-05,1051
2024-12-06,2.5999999706982635e-05,2.5999999706982635e-05,2.700000004551839e-05,2.499999936844688e-05,2.5999999706982635e-05,1275
2024-12-07,2.5999999706982635e-05,2.5999999706982635e-05,2.700000004551839e-05,2.5999999706982635e-05,2.5999999706982635e-05,169
2024-12-08,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,41
2024-12-09,2.099999983329326e-05,2.099999983329326e-05,2.5999999706982635e-05,2.099999983329326e-05,2.5999999706982635e-05,315
2024-12-10,1.9999999494757503e-05,1.9999999494757503e-05,2.200000017182901e-05,1.9999999494757503e-05,2.099999983329326e-05,86
2024-12-11,2.099999983329326e-05,2.099999983329326e-05,2.200000017182901e-05,1.9999999494757503e-05,1.9999999494757503e-05,1176
2024-12-12,2.200000017182901e-05,2.200000017182901e-05,2.300000051036477e-05,2.099999983329326e-05,2.099999983329326e-05,275
2024-12-13,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,2489
2024-12-14,2.4000000848900527e-05,2.4000000848900527e-05,2.5999999706982635e-05,2.200000017182901e-05,2.200000017182901e-05,6988
2024-12-15,2.499999936844688e-05,2.499999936844688e-05,2.5999999706982635e-05,2.499999936844688e-05,2.5999999706982635e-05,4250
2024-12-16,2.4000000848900527e-05,2.4000000848900527e-05,2.499999936844688e-05,2.300000051036477e-05,2.499999936844688e-05,903
2024-12-17,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.300000051036477e-05,2.4000000848900527e-05,103
2024-12-18,1.8999999156221747e-05,1.8999999156221747e-05,2.4000000848900527e-05,1.8999999156221747e-05,2.4000000848900527e-05,5634
2024-12-19,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.8999999156221747e-05,1488
2024-12-20,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,0
2024-12-21,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.9999999494757503e-05,35
2024-12-22,1.8999999156221747e-05,1.8999999156221747e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.9999999494757503e-05,7
2024-12-23,1.8999999156221747e-05,1.8999999156221747e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8999999156221747e-05,947
2024-12-24,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,1.8999999156221747e-05,1.8999999156221747e-05,1812
2024-12-25,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,130
2024-12-26,1.8000000636675395e-05,1.8000000636675395e-05,2.099999983329326e-05,1.8000000636675395e-05,2.099999983329326e-05,1067
2024-12-27,1.9999999494757503e-05,1.9999999494757503e-05,2.099999983329326e-05,1.8000000636675395e-05,1.8000000636675395e-05,3615
2024-12-28,1.8999999156221747e-05,1.8999999156221747e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.9999999494757503e-05,1096
2024-12-29,1.8999999156221747e-05,1.8999999156221747e-05,1.8999999156221747e-05,1.8999999156221747e-05,1.8999999156221747e-05,14
2024-12-30,1.8000000636675395e-05,1.8000000636675395e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8999999156221747e-05,844
2024-12-31,1.5999999959603883e-05,1.5999999959603883e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.8000000636675395e-05,279
2025-01-01,1.4000000192027072e-05,1.4000000192027072e-05,1.5999999959603883e-05,1.4000000192027072e-05,1.5999999959603883e-05,3329
2025-01-02,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4000000192027072e-05,1.4000000192027072e-05,380
2025-01-03,1.5999999959603883e-05,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,6
2025-01-04,1.4999999621068127e-05,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.5999999959603883e-05,529
2025-01-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,137
2025-01-06,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,0
2025-01-07,1.4000000192027072e-05,1.4000000192027072e-05,1.4999999621068127e-05,1.4000000192027072e-05,1.4999999621068127e-05,1257
2025-01-08,1.4000000192027072e-05,1.4000000192027072e-05,1.4000000192027072e-05,1.4000000192027072e-05,1.4000000192027072e-05,0
