Date,Adj Close,Close,High,Low,Open,Volume
2024-12-01,3.099999958067201e-05,3.099999958067201e-05,3.300000025774352e-05,2.700000004551839e-05,2.700000004551839e-05,7612039739
2024-12-02,2.999999924213625e-05,2.999999924213625e-05,3.300000025774352e-05,2.8000000384054147e-05,3.099999958067201e-05,3831551872
2024-12-03,2.9000000722589903e-05,2.9000000722589903e-05,3.099999958067201e-05,2.700000004551839e-05,2.999999924213625e-05,2900059944
2024-12-04,3.300000025774352e-05,3.300000025774352e-05,3.300000025774352e-05,2.9000000722589903e-05,2.9000000722589903e-05,3807525567
2024-12-05,3.099999958067201e-05,3.099999958067201e-05,3.300000025774352e-05,2.999999924213625e-05,3.300000025774352e-05,4580121098
2024-12-06,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,2.999999924213625e-05,3.099999958067201e-05,1679209912
2024-12-07,3.199999991920777e-05,3.199999991920777e-05,3.300000025774352e-05,2.999999924213625e-05,3.099999958067201e-05,2288806089
2024-12-08,3.199999991920777e-05,3.199999991920777e-05,3.300000025774352e-05,3.099999958067201e-05,3.199999991920777e-05,1800907777
2024-12-09,2.700000004551839e-05,2.700000004551839e-05,3.199999991920777e-05,2.499999936844688e-05,3.199999991920777e-05,2849905286
2024-12-10,2.700000004551839e-05,2.700000004551839e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.700000004551839e-05,2598973280
2024-12-11,2.9000000722589903e-05,2.9000000722589903e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.700000004551839e-05,1628747541
2024-12-12,2.8000000384054147e-05,2.8000000384054147e-05,2.999999924213625e-05,2.8000000384054147e-05,2.9000000722589903e-05,1274687473
2024-12-13,2.9000000722589903e-05,2.9000000722589903e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.8000000384054147e-05,851561548
2024-12-14,2.700000004551839e-05,2.700000004551839e-05,2.9000000722589903e-05,2.700000004551839e-05,2.9000000722589903e-05,763111815
2024-12-15,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,580380067
2024-12-16,2.700000004551839e-05,2.700000004551839e-05,2.8000000384054147e-05,2.700000004551839e-05,2.8000000384054147e-05,811792426
2024-12-17,2.5999999706982635e-05,2.5999999706982635e-05,2.700000004551839e-05,2.5999999706982635e-05,2.700000004551839e-05,748595047
2024-12-18,2.4000000848900527e-05,2.4000000848900527e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.5999999706982635e-05,1202221017
2024-12-19,2.200000017182901e-05,2.200000017182901e-05,2.4000000848900527e-05,2.099999983329326e-05,2.4000000848900527e-05,1633970336
2024-12-20,2.200000017182901e-05,2.200000017182901e-05,2.300000051036477e-05,1.8999999156221747e-05,2.200000017182901e-05,1760046582
2024-12-21,2.200000017182901e-05,2.200000017182901e-05,2.4000000848900527e-05,2.099999983329326e-05,2.200000017182901e-05,1065598688
2024-12-22,2.099999983329326e-05,2.099999983329326e-05,2.200000017182901e-05,2.099999983329326e-05,2.200000017182901e-05,628189051
2024-12-23,2.200000017182901e-05,2.200000017182901e-05,2.300000051036477e-05,2.099999983329326e-05,2.099999983329326e-05,725031683
2024-12-24,2.300000051036477e-05,2.300000051036477e-05,2.4000000848900527e-05,2.200000017182901e-05,2.200000017182901e-05,631797376
2024-12-25,2.300000051036477e-05,2.300000051036477e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,594806079
2024-12-26,2.200000017182901e-05,2.200000017182901e-05,2.300000051036477e-05,2.099999983329326e-05,2.300000051036477e-05,524100565
2024-12-27,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,2.099999983329326e-05,2.200000017182901e-05,471460787
2024-12-28,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,307880381
2024-12-29,2.099999983329326e-05,2.099999983329326e-05,2.200000017182901e-05,2.099999983329326e-05,2.200000017182901e-05,359028171
2024-12-30,2.099999983329326e-05,2.099999983329326e-05,2.200000017182901e-05,2.099999983329326e-05,2.099999983329326e-05,497261496
2024-12-31,2.099999983329326e-05,2.099999983329326e-05,2.200000017182901e-05,2.099999983329326e-05,2.099999983329326e-05,438055586
2025-01-01,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,2.099999983329326e-05,2.099999983329326e-05,344366720
2025-01-02,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,2.200000017182901e-05,2.200000017182901e-05,570075176
2025-01-03,2.4000000848900527e-05,2.4000000848900527e-05,2.499999936844688e-05,2.300000051036477e-05,2.300000051036477e-05,659821312
2025-01-04,2.4000000848900527e-05,2.4000000848900527e-05,2.499999936844688e-05,2.4000000848900527e-05,2.4000000848900527e-05,541097067
2025-01-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,386456258
2025-01-06,2.4000000848900527e-05,2.4000000848900527e-05,2.499999936844688e-05,2.300000051036477e-05,2.4000000848900527e-05,526432911
2025-01-07,2.200000017182901e-05,2.200000017182901e-05,2.4000000848900527e-05,2.200000017182901e-05,2.4000000848900527e-05,789967807
2025-01-08,2.099999983329326e-05,2.099999983329326e-05,2.200000017182901e-05,1.9999999494757503e-05,2.200000017182901e-05,649412174
2025-01-09,2.099999983329326e-05,2.099999983329326e-05,2.200000017182901e-05,2.099999983329326e-05,2.099999983329326e-05,547339559
2025-01-10,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,2.099999983329326e-05,2.099999983329326e-05,482553339
2025-01-11,2.200000017182901e-05,2.200000017182901e-05,2.300000051036477e-05,2.099999983329326e-05,2.200000017182901e-05,405878454
2025-01-12,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,2.099999983329326e-05,2.200000017182901e-05,285388060
2025-01-13,2.099999983329326e-05,2.099999983329326e-05,2.200000017182901e-05,1.9999999494757503e-05,2.200000017182901e-05,638856632
2025-01-14,2.200000017182901e-05,2.200000017182901e-05,2.200000017182901e-05,2.099999983329326e-05,2.099999983329326e-05,335669595
2025-01-15,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,2.099999983329326e-05,2.200000017182901e-05,548015718
2025-01-16,2.200000017182901e-05,2.200000017182901e-05,2.300000051036477e-05,2.200000017182901e-05,2.300000051036477e-05,523660398
